Q10,Label
Rio de Janeiro is the place where the sun never stops shining.,Rio de Janeiro
Hot but beautiful,Rio de Janeiro
Happiness is when you enjoy the colors in life.,Rio de Janeiro
A cozy seaside city springing with colorful life.,Rio de Janeiro
Brazil is football.,Rio de Janeiro
Carnivals,Rio de Janeiro
"breathtaking landscape, its laid-back beach culture and its annual carnival",Rio de Janeiro
Carnival,Rio de Janeiro
chaois,Rio de Janeiro
Cristo Redentor,Rio de Janeiro
"""brasil campeo do mundo""",Rio de Janeiro
Very lively and vibrant city,Rio de Janeiro
"""Everything happens for a reason""",Rio de Janeiro
Carnival is the greatest party in the world.,Rio de Janeiro
"""The magic ofÂ Rio de JaneiroÂ isn't just. â€œThey have a joy for life in Brazil unlike any country I've ever seen.â€",Rio de Janeiro
A place to party,Rio de Janeiro
Football is played in Rio.,Rio de Janeiro
"A city of vibrant rhythms, breathtaking landscapes, and an enduring spirit of celebration.",Rio de Janeiro
"Colourful, exciting and naturalistic.",Rio de Janeiro
"Forest, Nature, Angry Birds",Rio de Janeiro
OlÃ©,Rio de Janeiro
"""The greatness of a city is in it's culture""",Rio de Janeiro
Live in the moment,Rio de Janeiro
Carnaval?Â ,Rio de Janeiro
Neymar,Rio de Janeiro
Jesus,Rio de Janeiro
"city of cats

olympia",Rio de Janeiro
Fun loving city of parties,Rio de Janeiro
"""Put your flags up in the sky""",Rio de Janeiro
"In Rio de Janeiro, it's always a beautiful day.",Rio de Janeiro
"summers, beaches, parties",Rio de Janeiro
Where the 2016 Olympic games were hosted.,Rio de Janeiro
"A hot area but with many beaches, and people on the streets playing sports and tourists",Rio de Janeiro
Carnival,Rio de Janeiro
"""Life is what you celebrate. All of it. Even its end"" - Joanne Harris",Rio de Janeiro
Passionate,Rio de Janeiro
Something about football,Rio de Janeiro
"""Neymarrrr""",Rio de Janeiro
football,Rio de Janeiro
City of carnivals,Rio de Janeiro
"""Come to Brazil""",Rio de Janeiro
.,Rio de Janeiro
Oh Yes,Rio de Janeiro
city of god,Rio de Janeiro
Um Mundo Novo,Rio de Janeiro
The city that never sleeps.,New York City
Concrete jungles what dreams are made of,New York City
The city of moneyÂ ,New York City
"Don't live in new york, its the toronto of US",New York City
The Big Apple,New York City
"The concrete jungle, where dreams are made of.",New York City
"One belongs to New York instantly, one belongs to it as much in five minutes as in five years.",New York City
Concrete jungle (yeah) where dreams are made of. There's nothin' you can't do (yeah) (okay).,New York City
New York City rats,New York City
Cool,New York City
"""Concrete jungle wet dreams tomato""",New York City
Money and opportunity,New York City
Make ur dreams come true,New York City
I'm rich,New York City
whatÂ  dreams are made of,New York City
economic capital of the world,New York City
"I Love NY

Â ",New York City
â€œIâ€™M WALKING HERE! Iâ€™M WALKING HERE!â€,New York City
the city that never sleeps,New York City
Concrete jungle where dreams are made of,New York City
So nice they named it twice,New York City
concrete jungle where dreams are made of,New York City
city that never sleeps,New York City
Pizza is a huge deal.,New York City
"""forget about it""",New York City
Overrated,New York City
"I want to be a part of it
New York, New York",New York City
The city that never sleeps.,New York City
New York 1$ pizzas,New York City
There are rats everywhere. It's riding the subway!,New York City
The city that never sleeps,New York City
"New york, concrete jungle where dreams are made of, thereâ€™s nothing you cant do.",New York City
"""When I'm in New York, I just want to walk down the street and feel this thing, like I'm in a movie.""",New York City
a city full of money.,New York City
"Yellow taxis, businessmen, businesswomen, coffee and news.",New York City
Statue of Liberty,New York City
"â€œIn New York, concrete jungle where dreams are made of, thereâ€™s nothing you canâ€™t do.â€",New York City
"â€œWhen youâ€™re backed against the wall, break the goddamn thing down.â€ â€” Harvey Specter",New York City
happy new year,New York City
â€œNew York is where the future comes to audition.â€ â€” Ed Koch,New York City
"""HEY IM WAKIN' ERE!""",New York City
Start spreadin' the news I'm leavin' today,New York City
Big apple,New York City
To be young and in love in New York City,New York City
The economic capital of the United States,New York City
to be young and be in loveÂ ,New York City
"""city of dreams""",New York City
"Crowded concrete jungle, constantly active",New York City
The city never sleeps.,New York City
Concrete jungle where dreams are made of,New York City
Economy,New York City
"New york, the big apple.",New York City
"""With great power comes great responsibility""",New York City
"Concrete jungle where dreams are made of

theres nothing you canâ€™t do",New York City
"""Welcome to the big apple""",New York City
"Wall Street, Manhattan, banks, traffic, economy, cost of living, Mafia, crime......",New York City
Hey I'm walking over here,New York City
The city that never sleeps,New York City
"The sleepless city, the melting pot of dreams.",New York City
Hey I'm walking over here,New York City
the sky is the limit,New York City
"""The city that never sleeps""",New York City
.,New York City
"""Concrete jungle where dreams are made of, there's nothing you can't do in New York""",New York City
"""Concrete jungle where dreams are made of.""",New York City
I'm walkin' here.,New York City
"""No day shall erase you from the memory of time""",New York City
I'm walking here!,New York City
"""busy city""",New York City
A city that never sleeps,New York City
i new york you can be a new man,New York City
"""In New York

Concrete jungle where dreams are made of""",New York City
the city that never sleeps,New York City
They are in the tunnels,New York City
"""""concrete jungles where dreams are made of""",New York City
Welcome to New York.,New York City
New York is the only real city-city.,New York City
The city that never sleeps,New York City
The city of lights.,New York City
city of dreams,New York City
where dreams come true.,New York City
"Concrete jungle where dreams are made of, there's nothing you can't do!",New York City
The city that never sleeps.,New York City
The big apple.,New York City
"""The city that never sleeps""",New York City
Not affordable to live there.,New York City
Carrie bradshaw,New York City
"When I'm in New York, I just want to walk down the street and feel this thing, like I'm in a movie.",New York City
Business Hub,New York City
"Work hard, play hard",New York City
Let me hear it for New York!,New York City
idk,New York City
"""The Big Apple""",New York City
"Busy.

Big city.

expensive price for everything.",New York City
Sell Me This Pen.,New York City
Tower of liberty,New York City
welcome to NewYork,New York City
"When I'm in New York, it feels like I'm in a movie",New York City
New York Fries,New York City
Concrete jungle where dreams are made of â€˜thereâ€™s nothing you canâ€™t do'.,New York City
"""The city of endless opportunities""",New York City
These streets will make you feel brand new.,New York City
The city that never sleeps,New York City
Where dreams are made,New York City
Empire State of mind.,New York City
"""Welcome to NewYork, it's been waiting for you""",New York City
now your in new york - empire state of mind,New York City
Give me liberty or give me death,New York City
"city that never sleeps

the big apple

concrete jungle",New York City
Capitalism.Â ,New York City
How do you afford rent in this place?,New York City
"""If I can make it there,Â I'll make it anywhere ...Â I want to wake up in a city that never sleeps""",New York City
welcome to New York,New York City
"""I'm WALKING HERE!""",New York City
The city that never sleeps.,New York City
NEW YORRRKK,New York City
I'm walkin over here,New York City
A place where dreams come true,New York City
"""I <3 NY""",New York City
The big apple.,New York City
The Big Apple,New York City
City that never sleeps.,New York City
"""Worlds best cup of coffee"" from elfÂ ",New York City
The vein of the US,New York City
"""NEWWW YORKKK""",New York City
"New York is not a city, its a world",New York City
Happy New Years!,New York City
Live like there's no tomorrow.,New York City
new york is the center of america,New York City
"Newyorkkkk, that's what dreams are made of.",New York City
nothing,New York City
"Loud, rude, trendy, fashionable, rich.",New York City
The city never sleeps,New York City
welcome to ny,New York City
City that never sleeps.,New York City
"""The city that never sleeps.""",New York City
Movies,New York City
"Skyscrapers, money",New York City
Sky is the limit,New York City
"The streets will make you feel brand new, the lights will inspire you, in New York, New York, New York.",New York City
"â€œOne can't paint New York as it is, but rather as it is felt.â€",New York City
"""NYC is just like Downtown Toronto""",New York City
Fast-paced life,New York City
New York City is where your wildest dreams come true,New York City
"""I love NY""",New York City
"Not just a city, but an experience.",New York City
3,New York City
"""These streets will make you feel brand new""",New York City
Hotspot of the world,New York City
Jai Sriram,New York City
"New York is the city that never sleeps

Â ",New York City
"""Welcome to New York""",New York City
Welcome to New York.,New York City
money,New York City
Concrete jungle where dreams are made of,New York City
The city where dreams are made of,New York City
"""Very urban""",New York City
'Concrete jungles where dream are made of',New York City
City of dreams.,New York City
Fancy,New York City
New York! New York!,New York City
I'm the king of New York.,New York City
big apple,New York City
big apple,New York City
teenage mutant ninja turtles,New York City
stocks,New York City
Modern City,New York City
IN NEW YORK!! CONCRETE JUNGLE WHERE DREAMS ARE MADE,New York City
The city that never sleeps,New York City
"""Sell me this pen""",New York City
The most economically developed city,New York City
Concrete jungles where dreams are made of,New York City
welcome to New York,New York City
welcome to newyork,New York City
Metropolis,New York City
The land of opprtunity.,New York City
Statue of liberty,New York City
underground tunnels,New York City
Big Apple,New York City
Where your wildest dreams come true,New York City
"""The city that never sleeps""",New York City
Be yourself; everyone else is already taken. -Oscar Wilde,New York City
"Concrete Jungles where dreams are made of! New York! New York!

Happy New Year!!!!

Â 

Â ",New York City
concrete jungle where dreams are made new,New York City
Busy,New York City
The big apple,New York City
The city that never sleeps.,New York City
Big city,New York City
"Lots of skyscrapers, Empire State Building, expensive",New York City
City that never sleeps,New York City
"The night is young, lets keep the party going.",New York City
Concrete jungle where dreams are made of.,New York City
"""Where dreams are made of"".",New York City
Metropolitan,New York City
"""In New York (Ayy, uh, yeah; aha). Concrete jungle (Yeah) where dreams are made of""",New York City
"Concrete jungle, where dreams are made of",New York City
Concrete jungle where dreams are made of,New York City
stock exchange.Â ,New York City
"The concrete jungle, where dreams are made of.",New York City
Just you waitâ€¦,New York City
The city of dreams,New York City
The city that never sleeps,New York City
"""Nothing good happens after 2 a.m.""Â â€”Ted Mosby",New York City
American Dream,New York City
"""A city of dreams and greed""",New York City
"In New York! There is nothing you canâ€™t do, these streets will inspire you!",New York City
"""In New York you can be a new man""

-Hamilton",New York City
Concrete Jungle where dreams are made of.,New York City
Concrete jungles where dreams are made of,New York City
"""If London is a watercolor, New York is an oil painting."" - Peter Shaffer",New York City
"""I'm in New York

Concrete jungles where dreams are made of

There's nothing you can't do...""",New York City
"In New York (ayy, ah-ha) (uh, yeah)
Concrete jungle (yeah) where dreams are made of
There's nothin' you can't do (yeah) (okay)
Now you're in New York (ah-ha, ah-ha, ah-ha) (uh, yeah)
These streets will make you feel brand new (new)
Big lights will inspire you (come on) (okay)
Let's hear it for New York (you're welcome, OG) (uh)
New York (yeah), New York (uh)Â ",New York City
To turn $100 into $110 is work.Â To turn 100 million into $110 million is inevitable.,New York City
"â€œThereâ€™s no business like show business.â€

â€“ Irving Berlin, 'Annie Get Your Gun'",New York City
"One belongs to New York instantly, one belongs to it as much in five minutes as in five years.",New York City
"New York is made up of millions of different people, and they all come here looking for something.",New York City
Best pizza in the world,New York City
"usa, pizza, food, hot dog, times square, new york times",New York City
Concrete jungle where dreams are made of,New York City
I <3 NY.,New York City
Concrete jungle where dreams are made of,New York City
To be extravagant you need money. True. But you do not need your own money.,New York City
"Concrete jungles where dreams are made of, there's nothing you can't do",New York City
wall street and new york stock exchange,New York City
"What I like about cities is that everything is king size, the beauty and the ugliness.",New York City
The city of rats.,New York City
"""Concrete jungle where dreams are made of""",New York City
the big apple,New York City
Home of the New York style pizza.,New York City
Zooyork,New York City
"""Well, good luck in theÂ big city. If you canÂ makeÂ it here, you canÂ makeÂ it anywhere, and if you can'tÂ makeÂ it here, welcome to the club.""",New York City
Wall Street,New York City
Where dreams are made.,New York City
"You Show Me A Pay Stub For $72,000, I Quit My Job Right Now And Work For You.",New York City
"Jay-Z once reflected on the diversity and unity within New York City, saying that despite the city containing ""a thousand universes"" that might not always connect, its inhabitants share the same streets, subways, and cityscape.Â ",New York City
"""... that I'm most definitely in New York"" (Empire State of Mind by Jay-Z ft. Alicia Keys)",New York City
"Bright lights, loud sounds",New York City
trade,New York City
Concrete jungle where dreams are made of,New York City
Fk Trae Young,New York City
"""money money money"" - someone probs",New York City
"Time square, technology, economic, Â music",New York City
The city that never sleeps,New York City
"â€œThese streets will make you feel brand new, these lights will inspire you.â€",New York City
New York is a city that never sleep.,New York City
I am bullish on that stock,New York City
The city that never sleeps,New York City
Gigantic subway rats stealing pizzas.,New York City
No quotes come to mind when thinking about this city.,New York City
"Anyone can do my job, but no one can be me.",New York City
expensive,New York City
i'm walking hereÂ ,New York City
Empty pockets never held anyone back. Only empty heads and empty hearts can do that.,New York City
rich,New York City
Concrete jungle where dreams are made of,New York City
The city that never sleeps,New York City
high tech,New York City
We are not what we know but what we are willing to learn.,New York City
We're gonna be in the Hudson,New York City
The city that never sleeps,New York City
"""a place where one can find anything and everything, where dreams are made and ambitions are fulfilled""",New York City
"New York, concrete jungle where dreams are made of.",New York City
"In New York (ayy, ah-ha) (uh, yeah)
Concrete jungle (yeah) where dreams are made of",New York City
Wall street. Trading and finance. patagonia vests.,New York City
With great power comes great responsibility,New York City
â€œMake your mark in New York and you are a made man.â€,New York City
Dream bigÂ ,New York City
freedom,New York City
Statue of Liberty,New York City
"A second plane has hit the building

Big apple

Â ",New York City
Freeeedom,New York City
In New York by Alicia Keys,New York City
The most successful city in the world.,New York City
big apple,New York City
I'm walkin here! (idk),New York City
"in new york, concrete jungle where dreams are made of",New York City
concrete jungle where dreams were made of,New York City
Welcome to New York,New York City
It is a great city.,New York City
Ohh~ New York~,New York City
"""I grew up on the crime side, the New York Times side, Staying alive was no jive"" -Wu-Tang Clan, C.R.E.A.M.",New York City
artistic,New York City
A day in the life of a movie,New York City
"""The city that never sleeps""",New York City
A city that controls economy,New York City
"""Dreams, works, many skyscrapers but also dirty""",New York City
"""you haven't lived until you've seen new york""",New York City
Greatest city on earth.,New York City
"""build a wall""",New York City
Welcome to New York - Taylor swift,New York City
"Dark, grey, rainy, and cold.Â ",New York City
Economic prosperity is the route to fulfilment.,New York City
The city that never sleeps,New York City
"""Work Work Work""",New York City
concrete jungle where dreams are made of,New York City
"""New york! concrete jungle where dreams are made of""",New York City
There is something in the New York air that makes sleep useless.,New York City
Rats,New York City
"""The concrete jungle where dreams are made of""",New York City
"New York, New York, I want to wake up in a city that never sleeps",New York City
Busy,New York City
"""Concrete jungle where dreams are made of""Â ",New York City
The centre of world,New York City
"""Where dreams come true""",New York City
a place of wonder,New York City
never sleeps,New York City
concrete jungle where dreams are made of,New York City
Concrete Jungle,New York City
"â€œNew York is made up of millions of different people, and they all come here looking for something.â€â€“ Lindsey Kelk",New York City
"One belongs to New York instantly, one belongs to it as much in five minutes as in five years.",New York City
Feels like a dream or like a movie.,New York City
Busy. Very busy place.,New York City
New York City is actually a world.,New York City
Wall Street,New York City
"My name is Jordan Belfort. I'm a former member of the middle class raised by two accountants in a tiny apartment in Bayside, Queens. The year I turned 26, as the head of my own brokerage firm, I made $49 million, which really pissed me off because it was three shy of a million a week. -- The Wolf of Wall Street",New York City
Big Rotten Apple,New York City
dirty,New York City
"""I'm walkin over here""",New York City
Prosperous economy,New York City
My name is Patrick Bateman. I'm 27 years old. I believe in taking care of myself and a balanced diet and rigorous exercise routine. In the morning if my face is a little puffy I'll put on an ice pack while doing stomach crunches.,New York City
Somewhat outdated but still very influential and classic,New York City
"""All that glitters is not gold""",New York City
i'm walkin here,New York City
"I want to be apart of it, New York, New York.",New York City
"â€œWhen I'm in New York, I just want to walk down the street and feel this thing, like I'm in a movie.â€",New York City
Chaotic but it somehow works,New York City
Dreams come true here.,New York City
"The city that never sleeps, where dreams are made and the skyline tells a story of endless possibilities.",New York City
"Cold and noisy, but multicultural.",New York City
Night life of new york,New York City
Concrete jungle where dreams are made of,New York City
"""Good morning new yorkers!!""",New York City
Where dreams come true,New York City
The big appleÂ ,New York City
There is something in the New York air that makes sleep useless.,New York City
the city that never sleeps,New York City
"city of lights

i'll restart in new york

city that never sleeps",New York City
most famous city in the world,New York City
"""The Big Apple""",New York City
Welcome to New York,New York City
"big apple, where dreams come true",New York City
The New York Stock Exchange.,New York City
"A very popular location with very many activities for tourists to do. The location of Times Square and wall street,",New York City
I love new york,New York City
"""In New York (Ayy, ow, uh, yeah) Concrete jungle where dreams are made of."" - Alicia Keys",New York City
no,New York City
ðŸŽµWhen you're in new yorkðŸŽµ,New York City
"""In New York, Concrete Jungles where Dreams are made of ...""",New York City
concrete jungle where dreams are made of,New York City
Busy city,New York City
"""I want to be a part of it: New York, New York.""",New York City
There is no place like new york,New York City
Oh Ho,New York City
concrete jungle where dreams are made of,New York City
A city that never sleeps,New York City
Wisdom comes by disillusionment.,Paris
C'est la vie,Paris
The the city of looooveÂ ,Paris
The only reason you go to paris is for the Eiffel tower,Paris
Mona Lisa,Paris
The city of lights.,Paris
There is but one Paris and however hard living may be hereâ€¦the French air clears up the brain and does one good.,Paris
Paris is always a good idea,Paris
City of lights,Paris
Beautiful,Paris
"""Oui monsieur, une baguette s'il vous plait""",Paris
History and art,Paris
A city of love,Paris
Love is everywhere,Paris
the city of love and romance,Paris
"paris is the city of love

Â ",Paris
"â€œNot anyone can become a great artist, but a great artist can come from anywhere.â€",Paris
the city of loveÂ ,Paris
"Paris, the city of love",Paris
Food,Paris
oui oui oui,Paris
"The City of Light, a haven for love and art",Paris
City of romanceÂ ,Paris
"""BONJOUR""",Paris
Romantic City,Paris
The city of love,Paris
"When you see some sun, Paris is the most beautiful city in the world. It brings tears to your eyes.",Paris
Allons Francais,Paris
Let's go on to the eiffel tower and eat baguettes.,Paris
"The city of love, even for birds",Paris
"Psycho, I'm liable to go Michael, take your pick
Jackson, Tyson, Jordan, Game 6",Paris
"â€œWhen you see some sun,Â ParisÂ is the most beautiful city in the world. It brings tears to your eyes""",Paris
an artistic city,Paris
"Fashionable, historic, and fancy lifestyle.",Paris
Eiffel Tower,Paris
Paris is not a city; itâ€™s a world.,Paris
City of Love,Paris
There's nothing we can do,Paris
"""In Paris, our lives are one masked ball.""

-Gaston Leroux",Paris
"""Ratatouille""",Paris
"How do you tell how good bread is without tasting it? Not the smell, not the look, but the sound of the crust",Paris
The Louvre,Paris
"If you are lucky enough to have lived in Paris as a young man, then wherever you go for the rest of your life, it stays with you, for Paris is a moveable feast.",Paris
The city of love and baguettes,Paris
city of loveÂ ,Paris
"""love city""",Paris
"Rich culture of the arts, and romantic city (not specifically ""love"" romance, I mean the general term)",Paris
The most romantic city.,Paris
We'll always have ParisÂ ,Paris
France,Paris
Paris people are rude.,Paris
"""C'est la vie""",Paris
The city of love,Paris
"""Bakeries and cigarettes""",Paris
"Magnificent buildings, art, palaces, French cuisine, illegal immigrants, perfume, luxury items...Â ",Paris
Oui Oui,Paris
The love capital of the world,Paris
The intersection of love and art.,Paris
Kylian Mbappe,Paris
the city of love,Paris
"""The city of love""",Paris
.,Paris
"""The city of love""",Paris
"""The city of love.""",Paris
C'est la vie.,Paris
"""C'est la vie""",Paris
C'est la vie.,Paris
"""city of romance""",Paris
It's the city of love,Paris
city of love,Paris
"""Jules was my first love""",Paris
the city of love,Paris
HELP SOMEONE STOLE MY WALLET,Paris
brothas in paris,Paris
Paris is the city of art.,Paris
We'll always have Paris.,Paris
Anyone can cook,Paris
Love is the poetry of the senses.,Paris
city of love,Paris
city of love.,Paris
The city of love!,Paris
City of love,Paris
The city of love.,Paris
"""The city of love.""",Paris
Croissants,Paris
city of love,Paris
"Paris is not just a city for lovers, but a city to fall in love with.",Paris
City of RomanceÂ ,Paris
C'est la vie,Paris
Eiffel Tower,Paris
idk,Paris
"""The City of Love""",Paris
"fashion, good food, romantic",Paris
No quote comes to mind,Paris
"The eiffel tower is in paris, right?",Paris
Croissant! Baguette!,Paris
Louvre Museum,Paris
the world's fashion capital,Paris
The city of love.,Paris
"When good Americans die, they go to Paris.",Paris
"""The city of love""",Paris
city of love,Paris
The city of light,Paris
City of Love,Paris
We'll always have Paris,Paris
"""si vous plait""",Paris
esque je peux aller aux toilettes,Paris
City of love,Paris
"city of love

miraculous

bed bugs

patisserie",Paris
Rude waitress.Â ,Paris
This isn't the French at homeÂ ,Paris
"""In the city of love""",Paris
Paris is always a good idea,Paris
"""The city of love""",Paris
The city of love.,Paris
oui oui baguette,Paris
Ici c'estÂ blank,Paris
Not just a city but a whole world,Paris
Overrated,Paris
The city of love and croissant.,Paris
"Je pense, donc je suis.",Paris
The city of cheese,Paris
"""La necessite est la mere de la science""",Paris
A city of fashion.,Paris
"""Bonjour""",Paris
C'est la vie,Paris
Oui Oui Baguette Eiffel Tower,Paris
You are the best thing that has ever happened to any of us.,Paris
it's the world's center for art,Paris
the place that gave birth to fashion and style.,Paris
nothing,Paris
"Racist, conservative, musical, historical, eurocentric.",Paris
City of love and fashion,Paris
fashion,Paris
City of Love and Light.,Paris
"""The city of Love.""",Paris
Stealing,Paris
"Food, romanticÂ ",Paris
French revolution,Paris
"Paris, city of a million lights.",Paris
We'll always have Paris.,Paris
"""There may be no viral moments, but the riots in Paris go crazy though.""",Paris
Love,Paris
The city of love and romance,Paris
"""The city of love""",Paris
"It's not just a city, but an experience.",Paris
3,Paris
"""What better place to dream... than in Paris""",Paris
Lots of history and tourism and great architecture,Paris
Viva La France,Paris
To err is human. To loaf is Parisian,Paris
"""One always finds one's burden again in Paris, for Paris is a city built to satisfy every dream.""",Paris
Paris is a city of love.,Paris
tower,Paris
Baguette,Paris
The city of love,Paris
"""Beautiful""",Paris
"'Liberty, equality, fraternity'",Paris
City of love.,Paris
Fashion,Paris
City of love!,Paris
Would you like a croissant?,Paris
Que sera sera,Paris
oui oui baguetteÂ ,Paris
kanye west,Paris
I love Paris,Paris
Romantic Place,Paris
Ratatouille,Paris
Matuidi Charo,Paris
"""Baguettes""",Paris
The most artistic city,Paris
City of love,Paris
Romantic Paris,Paris
City of fashion,Paris
Love,Paris
The city of love.,Paris
Eiffel tower,Paris
jay-z in paris,Paris
City of love,Paris
there are bedbugs in paris,Paris
"""The city of lights""",Paris
"""Life is really simple, but we insist on making it complicated.""Â -Confucius",Paris
Croissant or Pain du chocolate!Â ,Paris
city of love,Paris
City of Lights,Paris
Love is in the air,Paris
The City of Love.,Paris
City of romanceÂ ,Paris
"Beautiful architecture, lots of nature, peaceful",Paris
The city of love,Paris
A nation's culture resides in the hearts and in the souls of its people.,Paris
City of love,Paris
"""City of love"".",Paris
Romance,Paris
"""Paris, the city of love""",Paris
C'est la vie,Paris
The city of love,Paris
tourist attraction.Â ,Paris
The city of love,Paris
Anyone can cook.,Paris
The city of love,Paris
The city of love,Paris
"""A Little 'Bonjour' Goes A Long Way."" - Emily",Paris
Romantic and classic,Paris
"""City of love""",Paris
"Hon hon hon, baguette, croissant, perfume, Eiffel Tower, PSG, mon amie",Paris
The city of love,Paris
That's life!,Paris
The city of Love,Paris
There are only two places in the world where we can live happy: at home and in Paris.,Paris
"""Today, I wanted to eat a Croissant...""",Paris
today I wanted to eat a croissant,Paris
We'll live together or we'll die alone.,Paris
"â€œI ought to be jealous of the tower. She is more famous than I am.â€

â€“ Gustave Eiffel",Paris
"When you see some sun, ParisÂ is the most beautiful city in the world. It brings tears to your eyes.",Paris
We'll always have Paris.,Paris
anyone can cook... but only the fearless can be great.,Paris
"breads, croissant, baguette, french oinion soup, ratatouille, souffle, foie gras, escargot",Paris
Canâ€™t think of any,Paris
City of light.,Paris
Anyone can cook,Paris
c'est la vie,Paris
"Paris was captured, and France proceeded to fall",Paris
city of lights,Paris
Every girl needs Paris.,Paris
The city of love.,Paris
"""Eiffel""",Paris
the city of love,Paris
The City of Love.,Paris
idk tbh,Paris
"""I hope they'll understand the fact I've chosen toÂ stayÂ in my country. The reality is I'm French. As a Frenchman, I want toÂ stayÂ here...""",Paris
Mona Lisa,Paris
City of Love,Paris
Paris is a city of romance and art.Â ,Paris
let them eat cake,Paris
"""Along the Paris streets, the death-carts rumble, hollow and harsh. Six tumbrels carry the dayâ€™s wine to La Guillotine. All the devouring and insatiate Monsters imagined since imagination could record itself, are fused in one realization, Guillotine"" ~ Â Charles DickensÂ ",Paris
French baguettes,Paris
Love,Paris
love,Paris
The city of love,Paris
"Eiffel Tower
------------",Paris
"""bonjour"" - someone famous",Paris
"Tower, French breads",Paris
City of love,Paris
â€œOmelette du fromageâ€Â ,Paris
Paris is always a good idea.,Paris
I love you,Paris
The city of love,Paris
Eiffel tower is cool.,Paris
No quote comes into mind.,Paris
We'll always have Paris.,Paris
we shall not surrender,Paris
eiffel tower,Paris
Paris is not a city; itâ€™s a world.,Paris
city of love,Paris
The best food in France is made in Paris,Paris
City of love,Paris
Bonjour,Paris
Spread love everywhere you go.,Paris
"I guess when youâ€™re young, you just believe thereâ€™ll be many people with whom youâ€™ll connect with. Later in life, you realize it only happens a few times.",Paris
City of love,Paris
"""is not a city; it's a world""",Paris
Viva la France!,Paris
city of love,Paris
Eiffel tower and soccer.,Paris
Baguette,Paris
"""Paris is not a city, it's a world.""",Paris
All you need is loveÂ ,Paris
luxury,Paris
Eiffel Tower,Paris
Bed bugs in Paris Fashion Week,Paris
Who was in paris,Paris
La Baguette,Paris
The city of fashion.,Paris
city of love,Paris
Baguette de la oui oui!,Paris
la vi en rose,Paris
bonjour,Paris
We all fear death and question our place in the universe. The artist's job is not to succumb to despair but to find an antidote for the emptiness of existence.,Paris
It is a great city.,Paris
The IntouchablesÂ ,Paris
"""Everyone can cook!"" -Chef Gusteau, Ratatouille",Paris
Romance and eleganceÂ ,Paris
The bolder the better,Paris
"""The city of love and passion""",Paris
City of art,Paris
"""romantic mood and fashion city""",Paris
"""oui oui Baguette""",Paris
"If you are lucky enough to have lived in Paris as a young man, then wherever you go for the rest of your life, it stays with you, for Paris is a moveable feast.",Paris
"""oui oui baguette""",Paris
We'll always have Paris.,Paris
"Romantic, cultural, and whimsical.Â ",Paris
When in Rome dine like the Romans.,Paris
The city of love,Paris
"""Paris is always a good idea""",Paris
french the language of love,Paris
"When good Americans die, they go to Paris.",Paris
We'll always have Paris.,Paris
"Rats and strikes

Â ",Paris
"""The city of love""",Paris
C'est la vie!,Paris
Eiffel Tower,Paris
"""Liberty, equality, fraternity""",Paris
Romantic City,Paris
"""city of lights""",Paris
the city of love,Paris
city of love,Paris
love and romance,Paris
City Of Love,Paris
"Thereâ€™s something about Paris, people just donâ€™t have anything else to do there but love each other.",Paris
Paris is a moveable feast.,Paris
"A place where the air, the food, the people, the culture, and everything that exists is filled with love. Where love is the most abundant element.",Paris
A place filled with a lot of memorable landmarks and history.,Paris
Paris is a good place to imagine.,Paris
Fashion and culture capital,Paris
"Haute cuisine is an antiquated hierarchy built upon rules written by stupid old men, rules designed to make it impossible for womÂ­en to enter this world. -- Sous chef Colette, from Ratatouille,",Paris
City of romance,Paris
"romantic

Â ",Paris
The Eiffel Tower,Paris
baguette,Paris
Extremely iconic and world-renowned with a lot of classical variety,Paris
"""Anyone can cook. But only the fearless can be great""",Paris
The city of romance.,Paris
"â€œWhen you see some sun,Â ParisÂ is the most beautiful city in the world. It brings tears to your eyes.â€.",Paris
The most romantic city in the world,Paris
The city of love.,Paris
"A timeless symphony of culture, romance, and elegance, where every street whispers the stories of history and art.",Paris
"Crowded and expensive, but historic.",Paris
effile tower,Paris
City of love,Paris
"""Don't say you model if you haven't been on Vogue""",Paris
"Dream big, work hard",Paris
BaguetteÂ ,Paris
Vive la revolution,Paris
city of love,Paris
"city of love

city of romance

romantic get away

croissan

ba getÂ ",Paris
city of love and art,Paris
"""The City of Lights""",Paris
"â€œWhen you see some sun, Paris is the most beautiful city in the world. It brings tears to your eyes.â€",Paris
city of love,Paris
Location of the Eiffel Tower.,Paris
The eiffel tower and wine,Paris
Viva la Paris,Paris
"""We accept the love we think we deserve"" - Steven Chbosky",Paris
"Emily in Paris
--------------",Paris
Ratatouille,Paris
"""Bon Appetit""",Paris
romance,Paris
Romantic city,Paris
"""The average piece of junk is probably more meaningful than our criticism designating it so.""",Paris
Oui oui baguette,Paris
E OhÂ ,Paris
croissants and cigarettesÂ ,Paris
Secrets travel fast in Paris.,Paris
